epoch,train_loss,val_loss
1,4710.232978515625,338.9504150390625
2,278.16903299967447,158.41349517822266
3,222.1981972249349,134.38513885498048
4,202.51479756673177,113.40347839355469
5,178.77863372802733,93.13653198242187
6,162.0705833943685,76.90437255859375
7,145.508396097819,60.77869232177734
8,129.02532989501952,44.60733070373535
9,114.18665679931641,35.27234413146973
10,105.4521756998698,29.039379806518554
11,98.74154917399089,24.120385360717773
12,97.27421391805014,20.076236839294435
13,92.23366053263346,19.733243293762207
14,90.24303644816081,18.088171920776368
15,88.21433095296224,17.188447685241698
16,91.66916982014973,16.140799140930177
17,83.32461664835613,15.387836570739745
18,83.79069274902344,16.861430206298827
19,86.51740717569987,15.747901802062989
20,82.84370529174805,14.98944465637207
21,84.52267171223959,15.142704811096191
22,83.40063400268555,15.562710800170898
23,84.76530283610026,15.234481353759765
24,81.12459381103515,15.246577377319335
25,81.2006997680664,13.87482967376709
26,78.32462799072266,13.810254669189453
27,83.81555938720703,14.30326358795166
28,82.94347625732422,15.63432415008545
29,79.76594497680664,14.712293853759766
30,77.22161631266276,13.682460021972656
31,79.06793279012044,14.462272033691406
32,80.64858688354492,14.235599975585938
33,77.57468444824218,13.679131851196288
34,75.30423828125,14.878165855407715
35,76.94929611206055,17.345760917663576
36,77.9693977355957,14.070503616333008
37,72.1218832397461,13.603421287536621
38,79.7134883626302,12.937510528564452
39,79.94207697550456,12.93420093536377
40,76.49402623494466,15.42365119934082
41,74.28671966552734,14.704423522949218
42,74.38924769083658,15.904433059692384
43,75.48798823038737,17.688272438049317
44,75.83757619222006,15.886161727905273
45,75.39607905069987,13.082839889526367
46,73.74210917154947,13.972865257263184
47,73.19320770263671,19.195797157287597
48,75.4236897277832,12.738160400390624
49,76.24037704467773,15.777268867492676
50,74.67605326334636,13.203949356079102
