epoch,train_loss,val_loss
1,4544.68407023112,263.77557861328125
2,356.066650390625,157.76764984130858
3,301.8464005533854,139.07846221923828
4,274.77992370605466,117.37840515136719
5,263.48719197591146,96.59551116943359
6,247.59353332519532,84.69970504760742
7,225.87168538411458,74.34701705932618
8,205.64420857747396,52.63254058837891
9,209.56600362141927,44.967142257690426
10,189.50512329101562,37.87963821411133
11,194.0116185506185,32.773737564086915
12,185.05826182047525,27.84996078491211
13,175.65599009195964,33.06166130065918
14,180.98856618245443,24.888078689575195
15,169.17222157796223,28.79594581604004
16,181.64653869628907,21.393534584045412
17,176.61036417643228,30.723731842041015
18,170.6633172607422,21.0700874710083
19,165.85714416503907,25.864804496765135
20,162.56419576009114,19.036331558227538
21,161.98267761230468,16.535479278564452
22,165.829182027181,17.29018138885498
23,163.37454060872395,15.989094123840331
24,160.68114095052084,20.57047645568848
25,166.47924875895183,21.677230110168455
26,159.15608662923177,17.586682434082032
27,158.27912811279296,23.248265037536623
28,154.38541208902996,17.875346450805665
29,161.20475219726563,16.768954544067384
30,159.84881306966145,18.813352508544924
31,162.14828938802083,15.977566680908204
32,158.45065755208333,36.38088211059571
33,152.63788604736328,23.95115608215332
34,153.69226145426433,16.39379138946533
35,156.26210540771484,15.711886787414551
36,147.35118489583334,15.646315078735352
37,150.7194834391276,20.536724433898925
38,149.9750498453776,14.6510640335083
39,152.16819986979166,14.948307304382324
40,147.81238494873048,19.30588893890381
41,147.90544474283854,14.611863327026366
42,149.8996324666341,14.786290664672851
43,146.80939432779948,15.459068870544433
44,146.39515075683593,13.641322097778321
45,138.63836252848307,14.090657768249512
46,145.81770660400392,15.941136474609374
47,148.62086720784507,17.140283470153808
48,141.9299287923177,20.439716606140138
49,142.75991658528645,13.32487148284912
50,141.44027313232422,16.133307304382324
51,140.14897237141926,18.683515243530273
52,141.90917053222657,20.948636207580567
53,141.0622306315104,28.233000183105467
54,135.60966552734374,13.940825691223145
55,138.50675872802734,15.155592765808105
56,140.97238494873048,17.232672882080077
57,139.48153350830077,13.845246505737304
58,137.2890586344401,23.625640563964843
59,138.18417897542318,18.20862892150879
60,139.86232096354166,13.004642448425294
61,134.12893798828125,13.211592025756836
62,137.2900709025065,13.357465591430664
63,140.29285380045573,16.192096061706543
64,136.36207122802733,12.429716873168946
65,136.5989535522461,14.483451461791992
66,132.73149068196614,12.852315826416016
67,128.11963928222656,23.62114433288574
68,132.1047602335612,22.251522483825685
69,131.05240305582683,18.203860626220703
70,137.16089385986328,20.607035675048827
71,127.14133005777995,16.062775650024413
72,131.1300644938151,19.437515678405763
73,127.29985473632813,19.319690132141112
74,125.01371215820312,16.56073272705078
75,133.4895278930664,22.673523941040038
76,133.1442807006836,13.065556182861329
77,129.2350688680013,16.92625617980957
78,127.9386983235677,12.764519424438477
79,130.8593600463867,12.638210678100586
80,130.02423716227213,16.599710426330567
81,130.19860310872397,12.180805549621581
82,127.15638326009115,12.648516044616699
83,127.06619537353515,14.409487800598145
84,127.89094228108723,12.79397289276123
85,123.73030670166015,14.022037467956544
86,123.02747802734375,15.523519554138183
87,122.82440134684245,21.956603927612306
88,125.11225413004557,14.046040306091308
89,124.58542185465495,22.535646514892576
90,125.72864034016926,21.241534843444825
91,127.11300333658855,15.73881332397461
92,117.72674296061199,14.441330718994141
93,120.79884663899739,18.283768424987795
94,124.4870810953776,19.571527214050292
95,116.26419860839843,12.539672813415528
96,124.78457026163737,23.11959327697754
97,118.14286631266276,19.875150871276855
98,117.16642710367839,15.518160591125488
99,115.40171742757161,12.634442329406738
100,114.88255096435547,27.214632949829102
